     ,activation_hidden ,alpha ,batch_size ,hidden_layer_sizes ,lambd   ,learning_rate ,learning_rate_init ,nesterov ,tau
 178 ,logistic          , 0.9  ,       128 ,"[30, 30]"         ,0.0001  ,linear_decay  ,            0.005  ,True     ,500
 179 ,logistic          , 0.8  ,       128 ,"[60, 30]"         ,0.0001  ,linear_decay  ,            0.01   ,False    ,500
 180 ,logistic          , 0.9  ,       128 ,"[30, 30]"         ,0.00025 ,linear_decay  ,            0.01   ,True     ,200
 181 ,logistic          , 0.85 ,       128 ,"[60, 30]"         ,0.0005  ,linear_decay  ,            0.01   ,False    ,500
 182 ,logistic          , 0.85 ,       128 ,"[60, 30]"         ,0.0005  ,linear_decay  ,            0.1    ,False    ,200
 183 ,logistic          , 0.75 ,       128 ,"[30, 30]"         ,0.001   ,linear_decay  ,            0.1    ,True     ,200
 184 ,logistic          , 0.9  ,       128 ,"[60, 30]"         ,0.0005  ,linear_decay  ,            0.005  ,False    ,500
 185 ,logistic          , 0.8  ,       128 ,"[30, 60]"         ,0.0001  ,linear_decay  ,            0.01   ,False    ,500
 186 ,logistic          , 0.85 ,       128 ,"[60, 30]"         ,0.0005  ,linear_decay  ,            0.1    ,True     ,200
 187 ,logistic          , 0.85 ,       128 ,"[30, 30, 30]"     ,0.0001  ,linear_decay  ,            0.01   ,True     ,200
 188 ,logistic          , 0.8  ,       128 ,"[30, 30]"         ,0.00025 ,linear_decay  ,            0.1    ,False    ,500
 189 ,logistic          , 0.85 ,       128 ,"[30, 60]"         ,0.001   ,linear_decay  ,            0.1    ,False    ,500
 190 ,logistic          , 0.9  ,       128 ,"[30, 60]"         ,0.0005  ,linear_decay  ,            0.01   ,True     ,500
 191 ,logistic          , 0.75 ,       128 ,"[30, 30]"         ,0.00025 ,linear_decay  ,            0.1    ,True     ,500
 192 ,logistic          , 0.85 ,       128 ,"[60, 30]"         ,0.0001  ,linear_decay  ,            0.005  ,True     ,500
 193 ,logistic          , 0.85 ,       128 ,"[30, 30, 30]"     ,0.00025 ,linear_decay  ,            0.005  ,True     ,500
 194 ,logistic          , 0.9  ,       128 ,"[30, 30]"         ,0.0005  ,linear_decay  ,            0.01   ,True     ,200
 195 ,logistic          , 0.75 ,       128 ,"[30, 30]"         ,0.0001  ,linear_decay  ,            0.01   ,True     ,500
 196 ,logistic          , 0.75 ,       128 ,"[60, 30]"         ,0.00025 ,linear_decay  ,            0.1    ,True     ,200
 197 ,logistic          , 0.9  ,       128 ,"[60, 30]"         ,0.00025 ,linear_decay  ,            0.01   ,False    ,200
 198 ,logistic          , 0.9  ,       128 ,"[60, 30]"         ,0.001   ,linear_decay  ,            0.01   ,False    ,500
 199 ,logistic          , 0.8  ,       128 ,"[30, 30]"         ,0.00025 ,linear_decay  ,            0.01   ,True     ,500
 200 ,logistic          , 0.9  ,       128 ,"[30, 30]"         ,0.001   ,linear_decay  ,            0.1    ,False    ,200
 201 ,logistic          , 0.9  ,       128 ,"[30, 60]"         ,0.0001  ,linear_decay  ,            0.005  ,True     ,500
 202 ,logistic          , 0.9  ,       128 ,"[30, 60]"         ,0.00025 ,linear_decay  ,            0.01   ,False    ,200
 203 ,logistic          , 0.85 ,       128 ,"[30, 60]"         ,0.0005  ,linear_decay  ,            0.01   ,True     ,500
 204 ,logistic          , 0.85 ,       128 ,"[60, 30]"         ,0.00025 ,linear_decay  ,            0.005  ,False    ,500
 205 ,logistic          , 0.8  ,       128 ,"[30, 60]"         ,0.0005  ,linear_decay  ,            0.1    ,False    ,500
 206 ,logistic          , 0.85 ,       128 ,"[30, 30]"         ,0.00025 ,linear_decay  ,            0.01   ,False    ,500
 207 ,logistic          , 0.9  ,       128 ,"[30, 30, 30]"     ,0.0001  ,linear_decay  ,            0.005  ,False    ,200
 208 ,logistic          , 0.9  ,       128 ,"[60, 30]"         ,0.0001  ,linear_decay  ,            0.005  ,False    ,200
 209 ,logistic          , 0.85 ,       128 ,"[60, 30]"         ,0.0005  ,linear_decay  ,            0.01   ,True     ,500
 210 ,logistic          , 0.9  ,       128 ,"[30, 30]"         ,0.001   ,linear_decay  ,            0.01   ,True     ,500
 211 ,logistic          , 0.8  ,       128 ,"[30, 30, 30]"     ,0.0001  ,linear_decay  ,            0.01   ,False    ,200
 212 ,logistic          , 0.9  ,       128 ,"[30, 60]"         ,0.0001  ,linear_decay  ,            0.01   ,False    ,200
 213 ,logistic          , 0.75 ,       128 ,"[30, 30]"         ,0.0005  ,linear_decay  ,            0.1    ,True     ,500
 214 ,logistic          , 0.75 ,       128 ,"[30, 30, 30]"     ,0.001   ,linear_decay  ,            0.1    ,False    ,500
 215 ,logistic          , 0.9  ,       128 ,"[30, 30, 30]"     ,0.0001  ,fixed         ,            0.001  ,True     ,200
 216 ,logistic          , 0.85 ,       128 ,"[60, 30]"         ,0.0001  ,linear_decay  ,            0.01   ,False    ,200
 217 ,logistic          , 0.75 ,       128 ,"[30, 30]"         ,0.00025 ,linear_decay  ,            0.1    ,False    ,500
 218 ,logistic          , 0.8  ,       128 ,"[30, 30, 30]"     ,0.0001  ,linear_decay  ,            0.005  ,False    ,500
 219 ,logistic          , 0.8  ,       128 ,"[30, 30]"         ,0.0005  ,linear_decay  ,            0.01   ,True     ,500
