     ,activation_hidden ,alpha ,batch_size ,epochs ,hidden_layer_sizes ,lambd  ,learning_rate ,learning_rate_init ,nesterov
 174 ,logistic          ,  0.5 ,      64   ,   800 ,"[60, 60]"         ,1e-05  ,linear_decay  ,            0.1    ,True
 175 ,logistic          ,  0.5 ,      64   ,   200 ,"[30, 30]"         ,0.001  ,fixed         ,            0.1    ,True
 176 ,logistic          ,  0.8 ,      64   ,   200 ,"[30, 30]"         ,1e-05  ,linear_decay  ,            0.1    ,False
 177 ,logistic          ,  0.8 ,      64   ,   800 ,"[30, 30]"         ,0.001  ,linear_decay  ,            0.1    ,True
 178 ,logistic          ,  0.0 ,       1   ,   800 ,"[30, 30, 30]"     ,0.0001 ,fixed         ,            0.0001 ,False
 179 ,tanh              ,  0.8 ,      64   ,   200 ,"[30, 30, 30]"     ,1e-05  ,linear_decay  ,            0.001  ,True
 180 ,tanh              ,  0.8 ,      64   ,   800 ,"[30, 30, 30]"     ,0.001  ,fixed         ,            0.001  ,False
 181 ,tanh              ,  0.5 ,      64   ,   800 ,"[60, 60]"         ,1e-05  ,fixed         ,            0.001  ,True
 182 ,tanh              ,  0.0 ,      64   ,   800 ,"[30, 30, 30]"     ,0.0001 ,fixed         ,            0.001  ,False
 183 ,logistic          ,  0.0 ,       1   ,   800 ,"[30, 30]"         ,0.001  ,fixed         ,            0.0005 ,False
 184 ,tanh              ,  0.5 ,      64   ,   800 ,"[30, 30]"         ,0.0001 ,fixed         ,            0.001  ,True
 185 ,logistic          ,  0.0 ,      64   ,   200 ,"[30, 30, 30]"     ,0.001  ,fixed         ,            0.1    ,False
 186 ,tanh              ,  0.0 ,       1   ,   200 ,"[60, 60]"         ,0.001  ,fixed         ,            0.001  ,False
 187 ,logistic          ,  0.8 ,      64   ,   200 ,"[30, 30]"         ,0.001  ,linear_decay  ,            0.1    ,True
 188 ,logistic          ,  0.8 ,      64   ,   800 ,"[30, 30, 30]"     ,1e-05  ,linear_decay  ,            0.1    ,True
 189 ,tanh              ,  0.8 ,      64   ,   200 ,"[30, 30]"         ,0.0001 ,fixed         ,            0.001  ,True
 190 ,logistic          ,  0.8 ,       1   ,   800 ,"[60, 60]"         ,0.001  ,fixed         ,            0.0005 ,False
 191 ,logistic          ,  0.0 ,       1   ,   800 ,"[60, 60]"         ,1e-05  ,fixed         ,            0.0001 ,False
 192 ,tanh              ,  0.0 ,       1   ,   200 ,"[30, 30]"         ,1e-05  ,fixed         ,            0.0001 ,False
 193 ,tanh              ,  0.0 ,       1   ,   200 ,"[60, 60]"         ,1e-05  ,fixed         ,            0.0001 ,False
 194 ,logistic          ,  0.8 ,       1   ,   200 ,"[60, 60]"         ,0.0001 ,fixed         ,            0.0005 ,False
 195 ,tanh              ,  0.8 ,      64   ,   800 ,"[30, 30, 30]"     ,0.001  ,fixed         ,            0.001  ,True
 196 ,tanh              ,  0.5 ,      64   ,   800 ,"[60, 60]"         ,0.0001 ,fixed         ,            0.001  ,True
 197 ,logistic          ,  0.8 ,       1   ,   800 ,"[30, 30, 30]"     ,0.001  ,fixed         ,            0.001  ,False
