,activation_hidden,activation_out,batch_size,hidden_layer_sizes,lambd,learning_rate_init,weights_bound,weights_dist
424,logistic,tanh,1,[4],0.01,0.0001,,
425,tanh,tanh,8,[4],0.001,0.0001,,
426,logistic,tanh,1,[4],0.005,0.0001,,
427,tanh,logistic,32,[4],0.005,0.001,,
428,tanh,logistic,32,[4],0.01,0.001,,
429,logistic,logistic,8,[4],0.002,0.005,0.7,uniform
430,logistic,tanh,1,[4],0.001,0.05,,
431,logistic,logistic,8,[4],0.002,0.005,,
432,logistic,tanh,8,[4],0.01,0.001,,
433,logistic,logistic,16,[4],0.002,0.01,0.7,uniform
434,logistic,tanh,16,[4],0.005,0.001,0.7,uniform
435,tanh,logistic,32,[4],0.002,0.005,0.7,uniform
436,logistic,logistic,8,[4],0.005,0.005,0.7,uniform
437,logistic,tanh,16,[4],0.002,0.001,0.7,uniform
438,logistic,logistic,16,[4],0.005,0.01,,
439,logistic,logistic,8,[4],0.001,0.005,,
440,logistic,logistic,16,[4],0.002,0.01,,
441,tanh,logistic,32,[4],0.001,0.005,0.7,uniform
442,logistic,tanh,1,[4],0.01,0.05,0.7,uniform
443,logistic,logistic,8,[4],0.001,0.005,0.7,uniform
444,tanh,tanh,8,[4],0.01,0.0001,,
445,tanh,tanh,8,[4],0.005,0.0001,0.7,uniform
446,tanh,logistic,32,[4],0.005,0.005,0.7,uniform
447,logistic,logistic,32,[4],0.005,0.01,,
448,logistic,tanh,8,[4],0.001,0.001,,
449,tanh,logistic,8,[4],0.001,0.001,0.7,uniform
450,tanh,logistic,32,[4],0.01,0.005,0.7,uniform
451,tanh,tanh,16,[4],0.005,0.0001,,
452,logistic,tanh,1,[4],0.002,0.0001,,
453,logistic,logistic,16,[4],0.001,0.01,,
454,logistic,logistic,32,[4],0.001,0.01,0.7,uniform
455,tanh,tanh,8,[4],0.002,0.0001,,
456,logistic,tanh,32,[4],0.001,0.005,,
457,tanh,logistic,1,[4],0.002,0.0001,0.7,uniform
458,logistic,tanh,16,[4],0.01,0.001,,
459,logistic,tanh,16,[4],0.002,0.001,,
460,logistic,logistic,16,[4],0.002,0.005,,
461,tanh,logistic,8,[4],0.001,0.0001,,
462,tanh,logistic,8,[4],0.005,0.001,0.7,uniform
463,logistic,logistic,16,[4],0.01,0.005,,
464,tanh,tanh,8,[4],0.001,0.0001,0.7,uniform
465,logistic,tanh,32,[4],0.001,0.001,0.7,uniform
466,tanh,logistic,8,[4],0.002,0.001,0.7,uniform
467,tanh,logistic,1,[4],0.005,0.0001,0.7,uniform
468,tanh,tanh,16,[4],0.001,0.0001,,
469,logistic,tanh,1,[4],0.001,0.0001,,
470,tanh,tanh,16,[4],0.002,0.0001,,
471,logistic,tanh,16,[4],0.01,0.001,0.7,uniform
472,logistic,logistic,8,[4],0.01,0.005,0.7,uniform
473,tanh,logistic,16,[4],0.005,0.001,0.7,uniform
474,tanh,tanh,8,[4],0.002,0.0001,0.7,uniform
475,logistic,logistic,16,[4],0.001,0.005,0.7,uniform
476,logistic,logistic,32,[4],0.002,0.01,0.7,uniform
477,logistic,logistic,32,[4],0.005,0.005,,
478,logistic,logistic,32,[4],0.01,0.01,,
479,tanh,logistic,8,[4],0.01,0.0001,,
480,logistic,tanh,32,[4],0.002,0.001,0.7,uniform
481,tanh,tanh,32,[4],0.005,0.0001,,
482,tanh,logistic,1,[4],0.001,0.0001,0.7,uniform
483,logistic,logistic,32,[4],0.002,0.01,,
484,logistic,tanh,16,[4],0.005,0.001,,
485,logistic,tanh,16,[4],0.001,0.001,,
486,tanh,logistic,16,[4],0.002,0.001,0.7,uniform
487,tanh,logistic,8,[4],0.002,0.0001,,
488,tanh,logistic,8,[4],0.01,0.001,0.7,uniform
