,alpha,hidden_layer_sizes,lambd,learning_rate,learning_rate_init,nesterov
334,0.75,"[30, 30, 30]",0.0001,fixed,0.008,False
335,0.75,"[60, 30]",0.0005,linear_decay,0.1,True
336,0.75,"[60, 30]",0.00025,linear_decay,0.04,True
337,0.9,"[30, 30, 30]",0.00025,fixed,0.004,True
338,0.75,"[60, 30]",0.00025,linear_decay,0.1,False
339,0.6,"[30, 30, 30]",0.00025,linear_decay,0.12,False
340,0.8,"[30, 30, 30]",5e-05,fixed,0.006,False
341,0.85,"[30, 30, 30]",0.001,linear_decay,0.12,False
342,0.85,"[30, 30, 30]",0.0001,fixed,0.01,False
343,0.75,"[30, 30, 30]",0.001,linear_decay,0.06,True
344,0.7,"[60, 30]",0.0005,linear_decay,0.12,True
345,0.75,"[30, 30, 30]",0.001,linear_decay,0.1,False
346,0.6,"[30, 30, 30]",0.0005,linear_decay,0.06,True
347,0.75,"[30, 30, 30]",0.0001,linear_decay,0.06,False
348,0.85,"[60, 30]",0.0005,linear_decay,0.04,True
349,0.75,"[30, 30, 30]",0.00025,linear_decay,0.08,False
350,0.85,"[30, 30, 30]",0.00025,fixed,0.01,False
351,0.6,"[60, 30]",0.0005,linear_decay,0.06,False
352,0.75,"[30, 30, 30]",0.0001,linear_decay,0.04,False
353,0.75,"[30, 30, 30]",5e-05,fixed,0.008,False
354,0.7,"[30, 30, 30]",0.00025,linear_decay,0.1,False
355,0.7,"[30, 30, 30]",0.0001,linear_decay,0.06,True
356,0.7,"[60, 30]",0.0001,linear_decay,0.04,True
357,0.8,"[60, 30]",0.00025,linear_decay,0.06,True
358,0.9,"[60, 30]",0.0005,fixed,0.006,False
359,0.65,"[30, 30, 30]",0.00025,linear_decay,0.04,True
360,0.8,"[60, 30]",5e-05,fixed,0.01,False
361,0.85,"[30, 30, 30]",0.0001,fixed,0.004,True
362,0.85,"[30, 30, 30]",5e-05,fixed,0.004,True
363,0.75,"[30, 30, 30]",0.0005,linear_decay,0.05,True
364,0.9,"[60, 30]",0.0005,fixed,0.006,True
365,0.7,"[30, 30, 30]",0.001,linear_decay,0.12,False
366,0.75,"[60, 30]",0.0005,linear_decay,0.04,True
367,0.8,"[30, 30, 30]",0.0001,linear_decay,0.05,False
368,0.8,"[60, 30]",0.0001,fixed,0.008,True
369,0.85,"[30, 30, 30]",5e-05,fixed,0.006,True
370,0.7,"[30, 30, 30]",0.001,linear_decay,0.1,True
371,0.8,"[30, 30, 30]",0.001,linear_decay,0.04,True
372,0.8,"[30, 30, 30]",0.0005,fixed,0.01,False
