,activation_hidden,alpha,batch_size,epochs,hidden_layer_sizes,lambd,learning_rate,learning_rate_init,nesterov,tau
307,logistic,0.9,128,500,"[30, 30, 30]",0.0005,fixed,0.001,False,200
308,logistic,0.8,128,500,"[30, 60]",0.0005,linear_decay,0.01,True,200
309,logistic,0.8,128,500,"[30, 30]",0.0001,linear_decay,0.005,False,200
310,logistic,0.8,128,500,"[30, 30]",0.0005,linear_decay,0.005,False,500
311,logistic,0.75,128,500,"[60, 30]",0.0001,linear_decay,0.005,True,200
312,logistic,0.75,128,500,"[60, 30]",0.0005,linear_decay,0.005,True,500
313,logistic,0.9,128,500,"[30, 30, 30]",0.0001,fixed,0.0005,True,200
314,logistic,0.85,128,500,"[60, 30]",0.00025,fixed,0.001,True,200
315,logistic,0.75,128,500,"[30, 30, 30]",0.0001,linear_decay,0.005,True,200
316,logistic,0.75,128,500,"[30, 30]",0.0005,linear_decay,0.005,False,500
317,logistic,0.85,128,500,"[60, 30]",0.00025,fixed,0.001,False,200
318,logistic,0.75,128,500,"[60, 30]",0.0005,linear_decay,0.005,False,500
319,logistic,0.9,128,500,"[60, 30]",0.0001,fixed,0.0005,True,200
320,logistic,0.75,128,500,"[30, 30, 30]",0.0001,fixed,0.001,False,200
321,logistic,0.8,128,500,"[30, 30]",0.0001,linear_decay,0.005,True,200
322,logistic,0.75,128,500,"[30, 60]",0.001,linear_decay,0.01,True,500
323,logistic,0.75,128,500,"[30, 60]",0.00025,linear_decay,0.005,True,500
324,logistic,0.75,128,500,"[30, 30]",0.00025,linear_decay,0.01,False,200
325,logistic,0.8,128,500,"[60, 30]",0.0001,fixed,0.001,False,200
326,logistic,0.9,128,500,"[30, 60]",0.00025,fixed,0.001,False,200
327,logistic,0.75,128,500,"[30, 60]",0.00025,linear_decay,0.005,False,500
328,logistic,0.85,128,500,"[30, 30]",0.0001,fixed,0.001,False,200
