     ,activation_hidden ,val_MEE_mean_rank ,alpha ,batch_size ,epochs ,hidden_layer_sizes ,lambd  ,learning_rate ,learning_rate_init ,nesterov
 147 ,tanh              ,              376 ,  0.8 ,      64   ,   200 ,"[30, 30, 30]"     ,1e-05  ,linear_decay  ,            0.0005 ,False
 148 ,tanh              ,              228 ,  0.8 ,      64   ,   200 ,"[30, 30, 30]"     ,1e-05  ,linear_decay  ,            0.001  ,False
 149 ,tanh              ,             1101 ,  0.8 ,      64   ,   200 ,"[30, 30, 30]"     ,1e-05  ,linear_decay  ,            0.1    ,False
 150 ,tanh              ,              309 ,  0.8 ,      64   ,   200 ,"[30, 30, 30]"     ,0.0001 ,fixed         ,            0.0005 ,False
 151 ,tanh              ,              139 ,  0.8 ,      64   ,   200 ,"[30, 30, 30]"     ,0.0001 ,fixed         ,            0.001  ,False
 152 ,tanh              ,              987 ,  0.8 ,      64   ,   200 ,"[30, 30, 30]"     ,0.0001 ,fixed         ,            0.1    ,False
 153 ,tanh              ,              457 ,  0.8 ,      64   ,   200 ,"[30, 30, 30]"     ,0.0001 ,linear_decay  ,            0.0005 ,False
 154 ,tanh              ,              246 ,  0.8 ,      64   ,   200 ,"[30, 30, 30]"     ,0.0001 ,linear_decay  ,            0.001  ,False
 155 ,tanh              ,             1005 ,  0.8 ,      64   ,   200 ,"[30, 30, 30]"     ,0.0001 ,linear_decay  ,            0.1    ,False
 156 ,tanh              ,              426 ,  0.8 ,      64   ,   200 ,"[30, 30, 30]"     ,0.001  ,fixed         ,            0.0005 ,False
 157 ,tanh              ,              225 ,  0.8 ,      64   ,   200 ,"[30, 30, 30]"     ,0.001  ,fixed         ,            0.001  ,False
 158 ,tanh              ,             1015 ,  0.8 ,      64   ,   200 ,"[30, 30, 30]"     ,0.001  ,fixed         ,            0.1    ,False
 159 ,tanh              ,              625 ,  0.8 ,      64   ,   200 ,"[30, 30, 30]"     ,0.001  ,linear_decay  ,            0.0005 ,False
 160 ,tanh              ,              397 ,  0.8 ,      64   ,   200 ,"[30, 30, 30]"     ,0.001  ,linear_decay  ,            0.001  ,False
 161 ,tanh              ,              507 ,  0.8 ,      64   ,   200 ,"[30, 30, 30]"     ,0.001  ,linear_decay  ,            0.1    ,False
 162 ,tanh              ,             1003 ,  0.8 ,       1.0 ,   200 ,"[30, 30]"         ,1e-05  ,fixed         ,            0.0005 ,False
 163 ,tanh              ,              807 ,  0.8 ,       1.0 ,   200 ,"[30, 30]"         ,1e-05  ,fixed         ,            0.001  ,False
 164 ,tanh              ,              662 ,  0.8 ,       1.0 ,   200 ,"[30, 30]"         ,1e-05  ,fixed         ,            0.1    ,False
 165 ,tanh              ,             1081 ,  0.8 ,       1.0 ,   200 ,"[30, 30]"         ,1e-05  ,linear_decay  ,            0.0005 ,False
 166 ,tanh              ,              940 ,  0.8 ,       1.0 ,   200 ,"[30, 30]"         ,1e-05  ,linear_decay  ,            0.001  ,False
 167 ,tanh              ,              930 ,  0.8 ,       1.0 ,   200 ,"[30, 30]"         ,1e-05  ,linear_decay  ,            0.1    ,False
 168 ,tanh              ,              978 ,  0.8 ,       1.0 ,   200 ,"[30, 30]"         ,0.0001 ,fixed         ,            0.0005 ,False
 169 ,tanh              ,              848 ,  0.8 ,       1.0 ,   200 ,"[30, 30]"         ,0.0001 ,fixed         ,            0.001  ,False
 170 ,tanh              ,              409 ,  0.8 ,       1.0 ,   200 ,"[30, 30]"         ,0.0001 ,fixed         ,            0.1    ,False
 171 ,tanh              ,             1107 ,  0.8 ,       1.0 ,   200 ,"[30, 30]"         ,0.0001 ,linear_decay  ,            0.0005 ,False
 172 ,tanh              ,              943 ,  0.8 ,       1.0 ,   200 ,"[30, 30]"         ,0.0001 ,linear_decay  ,            0.001  ,False
 173 ,tanh              ,              729 ,  0.8 ,       1.0 ,   200 ,"[30, 30]"         ,0.0001 ,linear_decay  ,            0.1    ,False
 174 ,tanh              ,             1123 ,  0.8 ,       1.0 ,   200 ,"[30, 30]"         ,0.001  ,fixed         ,            0.0005 ,False
 175 ,tanh              ,              976 ,  0.8 ,       1.0 ,   200 ,"[30, 30]"         ,0.001  ,fixed         ,            0.001  ,False
 176 ,tanh              ,              598 ,  0.8 ,       1.0 ,   200 ,"[30, 30]"         ,0.001  ,fixed         ,            0.1    ,False
 177 ,tanh              ,             1262 ,  0.8 ,       1.0 ,   200 ,"[30, 30]"         ,0.001  ,linear_decay  ,            0.0005 ,False
 178 ,tanh              ,             1108 ,  0.8 ,       1.0 ,   200 ,"[30, 30]"         ,0.001  ,linear_decay  ,            0.001  ,False
 179 ,tanh              ,              702 ,  0.8 ,       1.0 ,   200 ,"[30, 30]"         ,0.001  ,linear_decay  ,            0.1    ,False
 180 ,tanh              ,              897 ,  0.8 ,       1.0 ,   200 ,"[60, 60]"         ,1e-05  ,fixed         ,            0.0005 ,False
 181 ,tanh              ,              705 ,  0.8 ,       1.0 ,   200 ,"[60, 60]"         ,1e-05  ,fixed         ,            0.001  ,False
 182 ,tanh              ,             1499 ,  0.8 ,       1.0 ,   200 ,"[60, 60]"         ,1e-05  ,fixed         ,            0.1    ,False
 183 ,tanh              ,             1006 ,  0.8 ,       1.0 ,   200 ,"[60, 60]"         ,1e-05  ,linear_decay  ,            0.0005 ,False
 184 ,tanh              ,              841 ,  0.8 ,       1.0 ,   200 ,"[60, 60]"         ,1e-05  ,linear_decay  ,            0.001  ,False
 185 ,tanh              ,             1524 ,  0.8 ,       1.0 ,   200 ,"[60, 60]"         ,1e-05  ,linear_decay  ,            0.1    ,False
 186 ,tanh              ,              880 ,  0.8 ,       1.0 ,   200 ,"[60, 60]"         ,0.0001 ,fixed         ,            0.0005 ,False
 187 ,tanh              ,              753 ,  0.8 ,       1.0 ,   200 ,"[60, 60]"         ,0.0001 ,fixed         ,            0.001  ,False
 188 ,tanh              ,             1482 ,  0.8 ,       1.0 ,   200 ,"[60, 60]"         ,0.0001 ,fixed         ,            0.1    ,False
 189 ,tanh              ,             1001 ,  0.8 ,       1.0 ,   200 ,"[60, 60]"         ,0.0001 ,linear_decay  ,            0.0005 ,False
 190 ,tanh              ,              876 ,  0.8 ,       1.0 ,   200 ,"[60, 60]"         ,0.0001 ,linear_decay  ,            0.001  ,False
